skill,doc_freq,descriptor_id,descriptor_name,cosine,match_type,mapped
account executive,94,2,Accounting,0.3732,unmapped,False
account management,702,2,Accounting,0.5762,semantic,True
accountability,437,79,Leadership,0.4159,unmapped,False
accounting,1600,2,Accounting,0.7,lexical,True
accounting principles,233,2,Accounting,0.6827,lexical,True
accounting software,223,2,Accounting,0.6415,lexical,True
accounting standards,62,2,Accounting,0.632,lexical,True
accounts payable,291,2,Accounting,0.3427,unmapped,False
accounts receivable,269,2,Accounting,0.3487,unmapped,False
accuracy,674,122,Physics ,0.344,unmapped,False
acls,440,179, Active Learning,0.2746,unmapped,False
acls certification,137,167,Training and Teaching ,0.2897,unmapped,False
action planning,54,123,Planning and Organizing,0.6224,semantic,True
active directory,140,179, Active Learning,0.4241,unmapped,False
active listening,415,110,Oral Communication: Active Listening,0.6047,lexical,True
acute care,138,8,Assisting and Caring for Others,0.4319,unmapped,False
acute care experience,64,8,Assisting and Caring for Others,0.4155,unmapped,False
adaptability,3530,0, Adaptability,0.9339,lexical,True
adaptation,60,0, Adaptability,0.6143,semantic,True
addictions,59,154,Staffing ,0.3325,unmapped,False
administration,388,130,Public Affairs and Government relations,0.5104,unmapped,False
administrative duties,91,17,Clerical,0.5083,unmapped,False
administrative experience,83,17,Clerical,0.4402,unmapped,False
administrative law,53,78,Law,0.465,lexical,True
administrative skills,123,17,Clerical,0.5388,unmapped,False
administrative support,261,8,Assisting and Caring for Others,0.4235,unmapped,False
administrative tasks,135,140,Scheduling Work and Activities,0.581,semantic,True
adobe,82,179, Active Learning,0.3273,unmapped,False
adobe acrobat,138,179, Active Learning,0.1749,unmapped,False
adobe creative suite,160,165,Thinking Creatively,0.2838,unmapped,False
adobe photoshop,61,179, Active Learning,0.2847,unmapped,False
adobe suite,63,179, Active Learning,0.2425,unmapped,False
adult abuse registry check,183,96,Mental Health,0.191,unmapped,False
adult education,130,167,Training and Teaching ,0.5392,unmapped,False
adult learning principles,68,167,Training and Teaching ,0.4847,unmapped,False
advanced cardiac life support (acls),60,8,Assisting and Caring for Others,0.2346,unmapped,False
advancement opportunities,96,25,"Computer, technology and Information Systems",0.4538,unmapped,False
advertising,62,142,Selling or Influencing Others,0.4922,unmapped,False
advocacy,414,130,Public Affairs and Government relations,0.37,unmapped,False
aed,64,122,Physics ,0.2284,unmapped,False
aerospace,67,122,Physics ,0.4317,unmapped,False
agile,700,144,Setting Objectives and Formulating Strategies,0.4172,unmapped,False
agile development,231,123,Planning and Organizing,0.3942,unmapped,False
agile methodologies,123,144,Setting Objectives and Formulating Strategies,0.4397,unmapped,False
agile methodology,151,144,Setting Objectives and Formulating Strategies,0.4419,unmapped,False
agility,144,48,Explosive Strength,0.4206,unmapped,False
agriculture,95,82,"Livestock, Farm animals and Wildlife",0.6535,semantic,True
ai,140,179, Active Learning,0.4749,unmapped,False
aircraft maintenance,59,42,Electronic Maintenance,0.5514,semantic,True
algorithms,99,114,Pattern Organization Speed,0.3705,unmapped,False
ambition,66,79,Leadership,0.4468,unmapped,False
analysis,564,159,Systems Analysis,0.4748,lexical,True
analytical,159,4,Analytical Thinking,0.5661,lexical,True
analytical and problemsolving skills,59,4,Analytical Thinking,0.625,semantic,True
analytical skills,3839,4,Analytical Thinking,0.6295,semantic,True
analytical thinking,797,4,Analytical Thinking,0.8462,lexical,True
analytics,255,97,Monitoring,0.5077,unmapped,False
anatomy,53,122,Physics ,0.3962,unmapped,False
anesthesia,58,154,Staffing ,0.285,unmapped,False
anesthesiology,144,154,Staffing ,0.2724,unmapped,False
anglais,52,179, Active Learning,0.2631,unmapped,False
angular,150,6,Arm-Hand Steadiness,0.1847,unmapped,False
ansible,96,74,Instructing,0.3048,unmapped,False
antiracism,315,120,Persuading,0.2876,unmapped,False
apex,54,179, Active Learning,0.3022,unmapped,False
api,72,18,Client Service,0.2875,unmapped,False
apis,89,18,Client Service,0.3207,unmapped,False
application development,51,116,Performance Measurement,0.3526,unmapped,False
appointment scheduling,80,140,Scheduling Work and Activities,0.4923,unmapped,False
apprenticeship,54,167,Training and Teaching ,0.492,unmapped,False
approachability,65,0, Adaptability,0.4671,unmapped,False
arcgis,93,25,"Computer, technology and Information Systems",0.38,unmapped,False
architecture,425,13,Building and Construction,0.4076,unmapped,False
artificial intelligence,258,179, Active Learning,0.4769,unmapped,False
arts,419,7,Arts,0.6772,lexical,True
asana,70,179, Active Learning,0.2993,unmapped,False
aseptic techniques,60,53,Fluency of Ideas,0.265,unmapped,False
aspe,87,179, Active Learning,0.2514,unmapped,False
assembly,146,145,Setting Up,0.4433,unmapped,False
assessment,711,46,Evaluating ,0.5761,semantic,True
assessment skills,70,56,General Learning Ability,0.4924,unmapped,False
assessments,77,46,Evaluating ,0.5513,semantic,True
asset management,188,85,Management of Financial Resources,0.5878,semantic,True
asset protection,182,85,Management of Financial Resources,0.3543,unmapped,False
associate discount,65,154,Staffing ,0.1899,unmapped,False
assurance,56,167,Training and Teaching ,0.3252,unmapped,False
attendance,188,154,Staffing ,0.3839,unmapped,False
attention to detail,6515,9,Attention to Detail,0.6857,lexical,True
audit,228,2,Accounting,0.4066,unmapped,False
auditing,400,2,Accounting,0.4347,unmapped,False
audits,193,98,"Monitoring Processes, Materials or Systems",0.4486,unmapped,False
autocad,1282,179, Active Learning,0.2576,unmapped,False
autocad civil 3d,51,150,Spatial Visualization,0.291,unmapped,False
automation,456,28,Controlling Machines and Processes,0.4598,unmapped,False
automotive,81,172,"Vehicle, Machinery and Equipment Operation",0.51,unmapped,False
autonomie,52,166,Time Management,0.2681,unmapped,False
autonomy,978,1, Independence,0.5352,unmapped,False
availability,91,140,Scheduling Work and Activities,0.3307,unmapped,False
aviation medicine,62,122,Physics ,0.2582,unmapped,False
awardwinning recognition programs,78,152,Speech Recognition,0.3488,unmapped,False
aws,572,25,"Computer, technology and Information Systems",0.2876,unmapped,False
azure,410,25,"Computer, technology and Information Systems",0.2251,unmapped,False
azure devops,136,37,Digital Systems Production,0.2661,unmapped,False
b2b,55,122,Physics ,0.2064,unmapped,False
b2b sales,104,139,Sales and Marketing,0.3702,unmapped,False
baccalaureate degree in nursing,80,167,Training and Teaching ,0.267,unmapped,False
bachelor of science in nursing,54,167,Training and Teaching ,0.3778,unmapped,False
bachelor of science in pharmacy,90,167,Training and Teaching ,0.3285,unmapped,False
bachelor's degree,1444,167,Training and Teaching ,0.3801,unmapped,False
bachelor's degree in civil engineering,67,92,Mathematics,0.3618,unmapped,False
bachelor's degree in engineering,98,92,Mathematics,0.3948,unmapped,False
bachelor's degree in nursing,86,167,Training and Teaching ,0.3069,unmapped,False
background check,209,98,"Monitoring Processes, Materials or Systems",0.2831,unmapped,False
background checks,52,130,Public Affairs and Government relations,0.2909,unmapped,False
baking,75,180, Creativity,0.244,unmapped,False
balance sheet,71,2,Accounting,0.3832,unmapped,False
bank reconciliation,65,2,Accounting,0.3993,unmapped,False
banking,231,50,Finance,0.4765,unmapped,False
banking applications,66,50,Finance,0.4586,unmapped,False
banking solutions,54,50,Finance,0.4555,unmapped,False
barber license,176,167,Training and Teaching ,0.2145,unmapped,False
barbering,56,154,Staffing ,0.3615,unmapped,False
base salary,52,67,Human Resources and Labour relations,0.3492,unmapped,False
bash,116,154,Staffing ,0.2099,unmapped,False
basic cardiac life support  health care provider (bclshcp),91,8,Assisting and Caring for Others,0.2627,unmapped,False
basic cardiac life support (bcls),65,8,Assisting and Caring for Others,0.2118,unmapped,False
basic computer skills,310,25,"Computer, technology and Information Systems",0.4444,unmapped,False
basic life support,70,8,Assisting and Caring for Others,0.3792,unmapped,False
basic life support (bls),56,8,Assisting and Caring for Others,0.2788,unmapped,False
basic medical officer course,94,167,Training and Teaching ,0.3581,unmapped,False
basic military officer qualification,79,167,Training and Teaching ,0.2666,unmapped,False
basic military officer qualification training,65,168,"Training, Mentoring and Coaching",0.4218,unmapped,False
basic military qualification,71,167,Training and Teaching ,0.2586,unmapped,False
basic weapons handling,55,64,Handling and Manipulating Objects,0.488,unmapped,False
bcls,168,25,"Computer, technology and Information Systems",0.2357,unmapped,False
bcls certification,117,167,Training and Teaching ,0.2709,unmapped,False
belonging,85,1, Independence,0.4156,unmapped,False
bending,356,12,Body Flexibility,0.4161,unmapped,False
benefits,382,0, Adaptability,0.3654,unmapped,False
benefits administration,70,130,Public Affairs and Government relations,0.4094,unmapped,False
benefits package,210,143,Service Orientation,0.2761,unmapped,False
best practices,268,144,Setting Objectives and Formulating Strategies,0.4055,unmapped,False
big data,96,5,Analyzing Data or Information,0.4305,unmapped,False
bilingual,245,77,Languages,0.3689,unmapped,False
bilingual (english and french),71,77,Languages,0.406,unmapped,False
bilingual (french and english),105,77,Languages,0.3963,unmapped,False
bilingual (french english),50,77,Languages,0.3202,unmapped,False
bilingual (french/english),62,77,Languages,0.3766,unmapped,False
bilingualism,642,77,Languages,0.3777,unmapped,False
bilingualism (english and french),96,77,Languages,0.3889,unmapped,False
bilingualism (english/french),61,77,Languages,0.3915,unmapped,False
bilingualism (french and english),174,77,Languages,0.3808,unmapped,False
bilingualism (french english),70,77,Languages,0.3427,unmapped,False
bilingualism (french/english),71,77,Languages,0.3879,unmapped,False
bilingualism (quebec only),118,77,Languages,0.2923,unmapped,False
billing,227,2,Accounting,0.3724,unmapped,False
bim,100,166,Time Management,0.2372,unmapped,False
biochemistry,98,16,Chemistry,0.4248,unmapped,False
biology,117,11,Biology,0.627,lexical,True
bls,265,179, Active Learning,0.2264,unmapped,False
bls (basic life support),69,8,Assisting and Caring for Others,0.2695,unmapped,False
bls certification,190,167,Training and Teaching ,0.2864,unmapped,False
bluebeam,115,122,Physics ,0.2391,unmapped,False
blueprint reading,142,38,Documenting and Recording Information,0.4012,unmapped,False
blueprints,152,38,Documenting and Recording Information,0.4164,unmapped,False
bonus,61,180, Creativity,0.2619,unmapped,False
bonuses,60,180, Creativity,0.3684,unmapped,False
bookkeeping,283,154,Staffing ,0.5043,unmapped,False
brand management,61,139,Sales and Marketing,0.4468,unmapped,False
budget,78,88,Managing Resources,0.348,unmapped,False
budget management,1220,88,Managing Resources,0.5658,semantic,True
budget preparation,104,88,Managing Resources,0.4385,unmapped,False
budgeting,2406,88,Managing Resources,0.4669,unmapped,False
budgets,97,88,Managing Resources,0.4634,unmapped,False
building automation systems,56,13,Building and Construction,0.5191,unmapped,False
building codes,274,13,Building and Construction,0.4461,unmapped,False
building information modeling (bim),52,13,Building and Construction,0.4756,unmapped,False
building maintenance,97,13,Building and Construction,0.5814,semantic,True
building relationships,56,44,Establishing and Maintaining Interpersonal Relationships,0.5693,semantic,True
building science,50,122,Physics ,0.4822,unmapped,False
building systems,60,13,Building and Construction,0.5892,semantic,True
business,498,14,Business Management,0.4854,lexical,True
business acumen,643,143,Service Orientation,0.3489,unmapped,False
business administration,734,14,Business Management,0.5088,unmapped,False
business analysis,578,159,Systems Analysis,0.5043,unmapped,False
business analyst,53,14,Business Management,0.4342,unmapped,False
business analytics,59,116,Performance Measurement,0.4933,unmapped,False
business case development,70,14,Business Management,0.3819,unmapped,False
business degree,97,14,Business Management,0.3751,unmapped,False
business development,1815,14,Business Management,0.5082,unmapped,False
business growth,54,14,Business Management,0.4115,unmapped,False
business intelligence,358,5,Analyzing Data or Information,0.4184,unmapped,False
business law,52,78,Law,0.4593,lexical,True
business management,197,14,Business Management,0.7251,lexical,True
business planning,227,14,Business Management,0.5952,semantic,True
business principles,61,14,Business Management,0.5172,unmapped,False
business process analysis,60,159,Systems Analysis,0.4205,unmapped,False
business process improvement,73,123,Planning and Organizing,0.3886,unmapped,False
business processes,58,14,Business Management,0.4915,unmapped,False
business requirements,125,45,Estimating Quantifiable Characteristics,0.4564,unmapped,False
business strategy,133,144,Setting Objectives and Formulating Strategies,0.6894,semantic,True
c#,252,127,Processing Information,0.2916,unmapped,False
c++,326,127,Processing Information,0.3257,unmapped,False
c/c++,97,25,"Computer, technology and Information Systems",0.2961,unmapped,False
ca,54,130,Public Affairs and Government relations,0.2219,unmapped,False
cad,245,128,Product Design,0.3103,unmapped,False
calculations,62,106,Numerical Ability,0.3357,unmapped,False
calendar management,101,140,Scheduling Work and Activities,0.5143,unmapped,False
calibration,130,116,Performance Measurement,0.2976,unmapped,False
campaign management,56,144,Setting Objectives and Formulating Strategies,0.4714,unmapped,False
canadian citizenship,94,78,Law,0.229,unmapped,False
canadian citizenship or permanent residency,85,1, Independence,0.2127,unmapped,False
canadian forces leadership and recruit school,51,79,Leadership,0.3795,lexical,True
canadian securities course,56,50,Finance,0.4018,unmapped,False
canadian securities course (csc),78,50,Finance,0.364,unmapped,False
capacity planning,56,88,Managing Resources,0.4543,unmapped,False
capital markets,56,50,Finance,0.4327,unmapped,False
cardiology,109,122,Physics ,0.3444,unmapped,False
care,62,174,Veterinarian and Animal Care,0.421,lexical,True
care coordination,102,29,Coordinating,0.5138,unmapped,False
care plan,51,8,Assisting and Caring for Others,0.3831,unmapped,False
care planning,315,123,Planning and Organizing,0.5059,unmapped,False
care plans,144,8,Assisting and Caring for Others,0.4097,unmapped,False
career advancement,189,167,Training and Teaching ,0.5102,unmapped,False
career advancement opportunities,94,167,Training and Teaching ,0.4737,unmapped,False
career and leadership opportunities,53,79,Leadership,0.4929,lexical,True
career development,241,167,Training and Teaching ,0.5682,semantic,True
career growth,88,167,Training and Teaching ,0.4298,unmapped,False
career growth opportunities,62,167,Training and Teaching ,0.418,unmapped,False
carpentry,109,154,Staffing ,0.4423,unmapped,False
carrying,114,154,Staffing ,0.3458,unmapped,False
case management,442,166,Time Management,0.3799,unmapped,False
caseload management,99,88,Managing Resources,0.3095,unmapped,False
caseware,126,179, Active Learning,0.2608,unmapped,False
cash flow management,69,2,Accounting,0.5316,unmapped,False
cash handling,651,2,Accounting,0.4688,unmapped,False
cash management,129,2,Accounting,0.5266,unmapped,False
cash register,65,38,Documenting and Recording Information,0.2655,unmapped,False
cash register operation,119,2,Accounting,0.3401,unmapped,False
cashier,81,154,Staffing ,0.4021,unmapped,False
cashiering,58,154,Staffing ,0.3909,unmapped,False
catering,65,66,Hospitality,0.4337,unmapped,False
cctv,95,24,Communications and Media,0.3845,unmapped,False
centres of influence (cois),76,142,Selling or Influencing Others,0.3219,unmapped,False
certificate of conduct,64,130,Public Affairs and Government relations,0.3001,unmapped,False
certification,131,167,Training and Teaching ,0.534,unmapped,False
certifications,73,167,Training and Teaching ,0.5439,unmapped,False
certified financial planner (cfp®),65,2,Accounting,0.4462,unmapped,False
cfa,76,130,Public Affairs and Government relations,0.3288,unmapped,False
change management,1405,88,Managing Resources,0.4736,unmapped,False
change orders,52,71,Information Ordering,0.3684,unmapped,False
chemical cleaning,88,16,Chemistry,0.4066,unmapped,False
chemical engineering,183,16,Chemistry,0.5527,semantic,True
chemistry,200,16,Chemistry,0.5916,lexical,True
child abuse registry check,339,98,"Monitoring Processes, Materials or Systems",0.2105,unmapped,False
child development,78,19,Coaching and Developing Others,0.4955,unmapped,False
chronic disease management,90,121,Physical Health,0.3078,unmapped,False
ci/cd,176,25,"Computer, technology and Information Systems",0.2663,unmapped,False
cip designation,50,25,"Computer, technology and Information Systems",0.238,unmapped,False
cisa,73,130,Public Affairs and Government relations,0.2593,unmapped,False
cissp,107,127,Processing Information,0.2446,unmapped,False
civil 3d,162,122,Physics ,0.3079,unmapped,False
civil engineering,998,13,Building and Construction,0.3942,unmapped,False
civil3d,58,179, Active Learning,0.2839,unmapped,False
claims management,62,2,Accounting,0.3785,unmapped,False
claims processing,53,138,Resolving Conflicts and Negotiating with Others,0.3199,unmapped,False
class 5 driver's license,297,179, Active Learning,0.1735,unmapped,False
class 5 license,93,179, Active Learning,0.26,unmapped,False
class a pharmacists license,59,179, Active Learning,0.2287,unmapped,False
classroom management,93,160,Teaching,0.5325,unmapped,False
clean driver's abstract,81,172,"Vehicle, Machinery and Equipment Operation",0.3339,unmapped,False
clean driving record,104,38,Documenting and Recording Information,0.2326,unmapped,False
cleaning,334,154,Staffing ,0.4048,unmapped,False
cleanliness,115,154,Staffing ,0.3158,unmapped,False
clerical duties,52,17,Clerical,0.7341,lexical,True
client acquisition,190,18,Client Service,0.5209,unmapped,False
client advocacy,60,18,Client Service,0.526,unmapped,False
client assessment,80,18,Client Service,0.5612,semantic,True
client care,126,18,Client Service,0.63,semantic,True
client communication,166,18,Client Service,0.5802,semantic,True
client engagement,135,18,Client Service,0.5309,unmapped,False
client experience,98,18,Client Service,0.6513,semantic,True
client focus,78,18,Client Service,0.459,unmapped,False
client interaction,76,18,Client Service,0.5292,unmapped,False
client management,293,18,Client Service,0.6467,semantic,True
client orientation,77,143,Service Orientation,0.5598,semantic,True
client relations,554,18,Client Service,0.6055,semantic,True
client relationship building,101,18,Client Service,0.5891,semantic,True
client relationship management,513,18,Client Service,0.5934,semantic,True
client relationships,213,18,Client Service,0.6039,semantic,True
client satisfaction,85,18,Client Service,0.5959,semantic,True
client service,501,18,Client Service,0.7951,lexical,True
client services,56,18,Client Service,0.7967,lexical,True
clientcentered care,142,18,Client Service,0.5019,unmapped,False
climate change,51,58,Geoscience,0.2327,unmapped,False
climbing,119,122,Physics ,0.3225,unmapped,False
climbing ladders,53,30,Coordinating the Work and Activities of Others,0.2718,unmapped,False
climbing stairs,68,117,Performing Physical Activities,0.2556,unmapped,False
clinical assessment,62,46,Evaluating ,0.4633,unmapped,False
clinical care,89,8,Assisting and Caring for Others,0.5002,unmapped,False
clinical competence,349,74,Instructing,0.4147,unmapped,False
clinical documentation,62,38,Documenting and Recording Information,0.5399,unmapped,False
clinical excellence,58,9,Attention to Detail,0.38,unmapped,False
clinical experience,194,8,Assisting and Caring for Others,0.3877,unmapped,False
clinical expertise,79,129,Providing Consultation and Advice,0.4928,unmapped,False
clinical knowledge,81,121,Physical Health,0.3875,unmapped,False
clinical leadership,101,79,Leadership,0.615,lexical,True
clinical practice,168,167,Training and Teaching ,0.4133,unmapped,False
clinical psychology,120,96,Mental Health,0.3928,unmapped,False
clinical reasoning,133,91,Mathematical Reasoning,0.538,unmapped,False
clinical research,122,9,Attention to Detail,0.3422,unmapped,False
clinical skills,324,74,Instructing,0.471,unmapped,False
clinical supervision,105,158,Supervising Subordinates,0.5283,unmapped,False
clinical teaching,76,160,Teaching,0.575,lexical,True
clinical trials,70,9,Attention to Detail,0.272,unmapped,False
cloud,109,122,Physics ,0.2853,unmapped,False
cloud computing,399,25,"Computer, technology and Information Systems",0.3864,unmapped,False
cloud security,56,131,Public Safety and Security,0.3323,unmapped,False
cloud technologies,65,25,"Computer, technology and Information Systems",0.4735,unmapped,False
cmms,102,166,Time Management,0.2959,unmapped,False
coaching,2314,19,Coaching and Developing Others,0.6164,lexical,True
coaching and mentoring,99,168,"Training, Mentoring and Coaching",0.7283,lexical,True
coaching skills,98,19,Coaching and Developing Others,0.668,semantic,True
code of conduct,66,44,Establishing and Maintaining Interpersonal Relationships,0.3407,unmapped,False
code of ethics,53,142,Selling or Influencing Others,0.3111,unmapped,False
code reviews,77,180, Creativity,0.222,unmapped,False
coding,98,127,Processing Information,0.4279,unmapped,False
coi loyalty program,51,143,Service Orientation,0.3214,unmapped,False
cold calling,157,154,Staffing ,0.2918,unmapped,False
collaboration,4486,20,Collaboration,0.7703,lexical,True
collaboration skills,216,20,Collaboration,0.6459,lexical,True
collaborative,70,20,Collaboration,0.629,semantic,True
collaborative work,98,20,Collaboration,0.6714,semantic,True
collections,81,81,"Library, Conservation and Heritage",0.3486,unmapped,False
collective agreement,90,20,Collaboration,0.5146,unmapped,False
collective agreements,104,138,Resolving Conflicts and Negotiating with Others,0.5362,unmapped,False
college degree,173,167,Training and Teaching ,0.442,unmapped,False
college diploma,302,167,Training and Teaching ,0.4455,unmapped,False
college of nurses of ontario,97,167,Training and Teaching ,0.3341,unmapped,False
commerce,101,139,Sales and Marketing,0.4296,unmapped,False
commission,99,154,Staffing ,0.4823,unmapped,False
commissioning,290,154,Staffing ,0.4087,unmapped,False
commitment,164,44,Establishing and Maintaining Interpersonal Relationships,0.4177,unmapped,False
communication,26506,24,Communications and Media,0.59,lexical,True
communication and interpersonal skills,116,44,Establishing and Maintaining Interpersonal Relationships,0.6031,semantic,True
community,59,30,Coordinating the Work and Activities of Others,0.4118,unmapped,False
community engagement,172,30,Coordinating the Work and Activities of Others,0.4477,unmapped,False
community health experience,51,26,Concern for Others,0.3873,unmapped,False
community involvement,311,20,Collaboration,0.4967,unmapped,False
community nursing,51,8,Assisting and Caring for Others,0.3718,unmapped,False
community outreach,72,30,Coordinating the Work and Activities of Others,0.4518,unmapped,False
community relations,97,130,Public Affairs and Government relations,0.4695,unmapped,False
community resources,145,30,Coordinating the Work and Activities of Others,0.3432,unmapped,False
company policies,61,144,Setting Objectives and Formulating Strategies,0.3323,unmapped,False
company policies and procedures,65,144,Setting Objectives and Formulating Strategies,0.4029,unmapped,False
compassion,438,26,Concern for Others,0.5249,unmapped,False
compensation,215,138,Resolving Conflicts and Negotiating with Others,0.4076,unmapped,False
compensation and benefits,64,67,Human Resources and Labour relations,0.3997,unmapped,False
competitive analysis,91,144,Setting Objectives and Formulating Strategies,0.4594,unmapped,False
competitive compensation,224,67,Human Resources and Labour relations,0.3862,unmapped,False
competitive pay,96,167,Training and Teaching ,0.3769,unmapped,False
competitive salary,329,167,Training and Teaching ,0.2746,unmapped,False
competitive wages,125,67,Human Resources and Labour relations,0.4201,unmapped,False
compilation,106,127,Processing Information,0.3156,unmapped,False
complaint handling,51,138,Resolving Conflicts and Negotiating with Others,0.5468,unmapped,False
compliance,998,44,Establishing and Maintaining Interpersonal Relationships,0.3674,unmapped,False
comprehensive benefits,53,0, Adaptability,0.3304,unmapped,False
comprehensive benefits package,97,143,Service Orientation,0.2691,unmapped,False
comprehensive health benefits,63,121,Physical Health,0.3273,unmapped,False
computer,56,25,"Computer, technology and Information Systems",0.4885,lexical,True
computer applications,225,25,"Computer, technology and Information Systems",0.5372,unmapped,False
computer engineering,141,25,"Computer, technology and Information Systems",0.581,semantic,True
computer literacy,584,36,Digital Literacy,0.5377,unmapped,False
computer proficiency,317,106,Numerical Ability,0.413,unmapped,False
computer science,593,25,"Computer, technology and Information Systems",0.6029,semantic,True
computer skills,1504,25,"Computer, technology and Information Systems",0.4961,unmapped,False
computer software,53,25,"Computer, technology and Information Systems",0.487,unmapped,False
computer systems,91,25,"Computer, technology and Information Systems",0.6157,lexical,True
computer vision,51,49,Far Vision,0.5008,unmapped,False
computers,140,25,"Computer, technology and Information Systems",0.6195,lexical,True
conceptual thinking,55,4,Analytical Thinking,0.5491,unmapped,False
conference fees,58,2,Accounting,0.1606,unmapped,False
conferences,54,130,Public Affairs and Government relations,0.3148,unmapped,False
confidence,279,9,Attention to Detail,0.4044,unmapped,False
confidentiality,1001,23,Communicating with Persons Outside Organization,0.3745,unmapped,False
configuration,72,145,Setting Up,0.4121,unmapped,False
configuration management,75,88,Managing Resources,0.4357,unmapped,False
confined spaces,82,64,Handling and Manipulating Objects,0.2002,unmapped,False
conflict management,283,138,Resolving Conflicts and Negotiating with Others,0.5509,semantic,True
conflict resolution,2442,138,Resolving Conflicts and Negotiating with Others,0.6325,semantic,True
conflict resolution skills,130,138,Resolving Conflicts and Negotiating with Others,0.6156,semantic,True
confluence,169,81,"Library, Conservation and Heritage",0.3258,unmapped,False
connect care,55,8,Assisting and Caring for Others,0.4536,unmapped,False
connect with students,59,160,Teaching,0.4189,unmapped,False
consensus building,53,30,Coordinating the Work and Activities of Others,0.528,unmapped,False
construction,877,13,Building and Construction,0.542,lexical,True
construction administration,50,13,Building and Construction,0.4793,unmapped,False
construction documents,62,13,Building and Construction,0.5693,semantic,True
construction drawings,107,13,Building and Construction,0.477,unmapped,False
construction engineering,53,13,Building and Construction,0.6259,semantic,True
construction experience,86,13,Building and Construction,0.5267,unmapped,False
construction management,651,13,Building and Construction,0.5972,semantic,True
construction methods,58,13,Building and Construction,0.5947,semantic,True
construction project management,57,13,Building and Construction,0.5747,semantic,True
construction supervision,87,158,Supervising Subordinates,0.5047,unmapped,False
consultation,335,129,Providing Consultation and Advice,0.6636,lexical,True
consultative selling,117,142,Selling or Influencing Others,0.5051,unmapped,False
consultative skills,53,74,Instructing,0.5394,unmapped,False
consulting,373,129,Providing Consultation and Advice,0.5263,unmapped,False
consulting experience,71,129,Providing Consultation and Advice,0.4951,unmapped,False
content creation,113,24,Communications and Media,0.3532,unmapped,False
content development,56,180, Creativity,0.3986,unmapped,False
continuing education,397,167,Training and Teaching ,0.5175,unmapped,False
continuing education benefits,89,167,Training and Teaching ,0.377,unmapped,False
continuous delivery,59,154,Staffing ,0.3581,unmapped,False
continuous improvement,1044,116,Performance Measurement,0.3713,unmapped,False
continuous integration,115,20,Collaboration,0.2277,unmapped,False
continuous learning,270,179, Active Learning,0.5424,unmapped,False
continuous quality improvement,107,116,Performance Measurement,0.4563,unmapped,False
contract administration,279,154,Staffing ,0.5331,unmapped,False
contract documents,56,38,Documenting and Recording Information,0.516,unmapped,False
contract law,61,78,Law,0.3574,lexical,True
contract management,522,154,Staffing ,0.4988,unmapped,False
